#station time x y
2 567.4 52.1500087783 0.0155857218
3 567.4 36.0547250456 36.6619122909
4 567.4 54.755684217 52.6671333212
5 567.4 54.7555792656 52.6602563693
1 567.4 28.241847045 72.9020948228
2 567.6 52.1500087783 0.0155857218
3 567.6 36.0547250456 36.6619122909
4 567.6 54.7548274459 52.666598473
5 567.6 54.7556525839 52.6605302001
1 567.6 28.2489565665 72.8211357037
2 567.8 52.1500087783 0.0155857218
3 567.8 36.0547250456 36.6619122909
4 567.8 54.7543234378 52.6657821059
5 567.8 54.7556525839 52.6605302001
1 567.8 28.2554743909 72.7399263108
2 568.0 52.1500087783 0.0155857218
3 568.0 36.0547250456 36.6619122909
4 568.0 54.7540232515 52.6638614463
5 568.0 54.7556525839 52.6605302001
1 568.0 28.2630419362 72.6594986508
2 568.2 52.1500329629 0.0155852432
3 568.2 36.0547250456 36.6619122909
4 568.2 54.7540705941 52.6638605915
5 568.2 54.7556525839 52.6605302001
1 568.2 28.2706751704 72.5787930325
2 568.4 52.1500329629 0.0155852432
3 568.4 36.0547250456 36.6619122909
4 568.4 54.7540728987 52.664135704
5 568.4 54.7556525839 52.6605302001
1 568.4 28.2779950368 72.496448977
2 568.6 52.1500329629 0.0155852432
3 568.6 36.0547250456 36.6619122909
4 568.6 54.7540492272 52.6641361314
5 568.6 54.7556289124 52.6605306269
1 568.6 28.2846742149 72.4149578476
2 568.8 52.1500571481 0.0155847646
3 568.8 36.0547250456 36.6619122909
4 568.8 54.7539782136 52.6641374124
5 568.8 54.7555792656 52.6602563693
1 568.8 28.2914968447 72.3323596125
2 569.0 52.1500329629 0.0155852432
3 569.0 36.0547250456 36.6619122909
4 569.0 54.7539545425 52.6641378399
5 569.0 54.7556289124 52.6605306269
1 569.0 28.2978759128 72.2486789763
2 569.2 52.1500329629 0.0155852432
3 569.2 36.0547250456 36.6619122909
4 569.2 54.7538361868 52.6641399758
5 569.2 54.7555838745 52.6608065937
1 569.2 28.3021783487 72.1645352086
2 569.4 52.1500329629 0.0155852432
3 569.4 36.0547250456 36.6619122909
4 569.4 54.752841996 52.6641579166
5 569.4 54.7555861788 52.6610817055
1 569.4 28.3083236688 72.0808645473
2 569.6 52.1500329629 0.0155852432
3 569.6 36.0547250456 36.6619122909
4 569.6 54.7528610577 52.6636072648
5 569.6 54.7555861788 52.6610817055
1 569.6 28.3125908131 71.9972729526
2 569.8 52.1500329629 0.0155852432
3 569.8 36.0547250456 36.6619122909
4 569.8 54.7528114109 52.6633330072
5 569.8 54.7555625077 52.661082133
1 569.8 28.315398953 71.912366328
2 570.0 52.1500329629 0.0155852432
3 570.0 36.0547250456 36.6619122909
4 570.0 54.752835082 52.6633325797
5 570.0 54.7555625077 52.661082133
1 570.0 28.3198789476 71.8251871425
2 570.2 52.1500087783 0.0155857218
3 570.2 36.0547250456 36.6619122909
4 570.2 54.7527403973 52.6633342882
5 570.2 54.7565110327 52.6640917107
